Rank,Movie title,Release year,No of reviews,Director,Movie link,Tomatometer,Audience ratings,Run time(Minutes)
53,The Adventures of Robin Hood,1938,47,"Michael Curtiz, William Keighley",https://www.rottentomatoes.com/m/1000355-adventures_of_robin_hood,100%,89%,102
54,Gravity,2013,349,Alfonso Cuarón,https://www.rottentomatoes.com/m/gravity_2013,96%,80%,91
55,Alien,1979,123,Ridley Scott,https://www.rottentomatoes.com/m/alien,98%,94%,117
56,Laura,1944,61,Otto Preminger,https://www.rottentomatoes.com/m/1012007-laura,100%,90%,90
57,Leave No Trace,2018,226,Debra Granik,https://www.rottentomatoes.com/m/leave_no_trace,100%,81%,109
58,Boyhood,2014,314,Richard Linklater,https://www.rottentomatoes.com/m/boyhood,97%,80%,165
59,Spider-Man: Far From Home,2019,428,Jon Watts,https://www.rottentomatoes.com/m/spider_man_far_from_home,90%,95%,130
60,Manchester by the Sea,2016,340,Kenneth Lonergan,https://www.rottentomatoes.com/m/manchester_by_the_sea,96%,78%,135
61,Once Upon a Time In Hollywood,2019,530,Quentin Tarantino,https://www.rottentomatoes.com/m/once_upon_a_time_in_hollywood,85%,70%,159
62,Argo,2012,352,Ben Affleck,https://www.rottentomatoes.com/m/argo_2012,96%,90%,120
63,12 Years a Slave,2013,359,Steve McQueen (III),https://www.rottentomatoes.com/m/12_years_a_slave,95%,90%,134
64,Baby Driver,2017,376,Edgar Wright,https://www.rottentomatoes.com/m/baby_driver,93%,86%,113
65,The Battle of Algiers,1967,87,Gillo Pontecorvo,https://www.rottentomatoes.com/m/the_battle_of_algiers,99%,95%,123
66,Top Hat,1935,41,Mark Sandrich,https://www.rottentomatoes.com/m/top_hat,100%,91%,99
67,The Maltese Falcon,1941,55,John Huston,https://www.rottentomatoes.com/m/1013139-maltese_falcon,100%,91%,101
68,La La Land,2016,449,Damien Chazelle,https://www.rottentomatoes.com/m/la_la_land,91%,81%,128
69,Zootopia,2016,285,"Byron Howard, Rich Moore, Jared Bush",https://www.rottentomatoes.com/m/zootopia,98%,92%,108
70,A Hard Day's Night,1964,108,Richard Lester,https://www.rottentomatoes.com/m/beatles_a_hard_days_night,98%,89%,87
71,War for the Planet of the Apes,2017,348,Matt Reeves,https://www.rottentomatoes.com/m/war_for_the_planet_of_the_apes,94%,84%,140
72,Psycho,1960,97,Alfred Hitchcock,https://www.rottentomatoes.com/m/psycho,96%,95%,109
73,The Philadelphia Story,1940,61,George Cukor,https://www.rottentomatoes.com/m/philadelphia_story,100%,93%,112
74,The Florida Project,2017,300,Sean Baker (II),https://www.rottentomatoes.com/m/the_florida_project,96%,80%,115
75,Widows,2018,397,Steve McQueen (III),https://www.rottentomatoes.com/m/widows_2018,91%,61%,128
76,Spider-Man: Homecoming,2017,385,Jon Watts,https://www.rottentomatoes.com/m/spider_man_homecoming,92%,87%,133
77,Rebecca,1940,60,Alfred Hitchcock,https://www.rottentomatoes.com/m/1017293-rebecca,100%,92%,130
78,Metropolis,1927,126,Fritz Lang,https://www.rottentomatoes.com/m/1013775-metropolis,97%,92%,115
79,M,1931,55,Fritz Lang,https://www.rottentomatoes.com/m/1012928-m,100%,95%,105
80,Seven Samurai,1956,62,Akira Kurosawa,https://www.rottentomatoes.com/m/seven_samurai_1956,100%,97%,204
81,North by Northwest,1959,77,Alfred Hitchcock,https://www.rottentomatoes.com/m/north-by-northwest,99%,94%,136
82,Won't You Be My Neighbor?,2018,242,Morgan Neville,https://www.rottentomatoes.com/m/wont_you_be_my_neighbor,98%,94%,94
83,The Night of the Hunter,1955,69,Charles Laughton,https://www.rottentomatoes.com/m/night_of_the_hunter,99%,90%,93
84,Shoplifters,2018,219,Hirokazu Koreeda,https://www.rottentomatoes.com/m/shoplifters,99%,91%,121
85,Bicycle Thieves,1949,62,Vittorio De Sica,https://www.rottentomatoes.com/m/bicycle_thieves,98%,94%,90
86,Sunset Boulevard,1950,63,Billy Wilder,https://www.rottentomatoes.com/m/sunset_boulevard,98%,95%,111
87,Hell or High Water,2016,278,David Mackenzie,https://www.rottentomatoes.com/m/hell_or_high_water,97%,88%,102
88,Shazam!,2019,392,David F. Sandberg,https://www.rottentomatoes.com/m/shazam,90%,82%,130
89,Touch of Evil,1958,76,Orson Welles,https://www.rottentomatoes.com/m/1021749-touch_of_evil,96%,92%,95
90,Up,2009,295,"Linn Patrick, Pete Docter, Bob Peterson",https://www.rottentomatoes.com/m/up,98%,90%,89
91,Toy Story 2,1999,168,John Lasseter,https://www.rottentomatoes.com/m/toy_story_2,100%,86%,92
92,Pinocchio,1940,53,"Hamilton Luske, Ben Sharpsteen, Walt Disney, Wilfred Jackson, Jack Kinney, T. Hee, Bill Roberts, Norman Ferguson",https://www.rottentomatoes.com/m/pinocchio_1940,100%,73%,88
93,A Streetcar Named Desire,1951,59,Elia Kazan,https://www.rottentomatoes.com/m/1020333-streetcar_named_desire,98%,90%,122
94,Captain America: Civil War,2016,408,Anthony Russo,https://www.rottentomatoes.com/m/captain_america_civil_war,91%,89%,146
95,Lawrence of Arabia,1962,86,David Lean,https://www.rottentomatoes.com/m/lawrence_of_arabia,98%,93%,222
96,Rear Window,1954,70,Alfred Hitchcock,https://www.rottentomatoes.com/m/1017289-rear_window,99%,95%,115
97,Toy Story 3,2010,305,Lee Unkrich,https://www.rottentomatoes.com/m/toy_story_3,98%,89%,103
98,Jaws,1975,83,Steven Spielberg,https://www.rottentomatoes.com/m/jaws,98%,90%,124
99,Chinatown,1974,72,Roman Polanski,https://www.rottentomatoes.com/m/chinatown,99%,93%,130
100,The Lady Vanishes,1938,44,Alfred Hitchcock,https://www.rottentomatoes.com/m/1011813-lady_vanishes,98%,88%,99
